year,districtid,enrollment,pctfemale,pctblack,pcthispanic,pcttwomoreraces,pctwhite,pctesl,pcthighlycapable,pctfrpl,pctsection504,pctdisabilities,districtnumber,nces_lea
2018,22204,136,0.4264705882352941,0.014705882352941176,0.029411764705882353,0.058823529411764705,0.8529411764705882,0,0,0.49264705882352944,0,0.17647058823529413,100103,5303360
2019,22204,151,0.4503311258278146,0.006622516556291391,0.013245033112582781,0.033112582781456956,0.8940397350993378,0,0,0.3509933774834437,0,0.19205298013245034,100103,5303360
2020,22204,145,0.4827586206896552,0.006896551724137931,0,0.027586206896551724,0.9241379310344827,0,0,0.42758620689655175,0,0.21379310344827587,100103,5303360
2021,22204,146,0.5,0,0.0410958904109589,0.0547945205479452,0.8904109589041096,0,0,0.4246575342465753,0,0.18493150684931506,100103,5303360
2022,22204,135,0.4962962962962963,0.022222222222222223,0.02962962962962963,0.05185185185185185,0.8740740740740741,0,0,0.5037037037037037,0,0.2,100103,5303360
2023,22204,149,0.42953020134228187,0.013422818791946308,0.020134228187919462,0.06040268456375839,0.8926174496644296,0,0,0.5704697986577181,0,0.19463087248322147,100103,5303360
2024,22204,125,0.376,0.016,0.032,0.048,0.896,0,0,0.616,0.048,0.32,100103,5303360
2025,22204,125,0.424,0.008,0.04,0.048,0.896,0,0,0.648,0.056,0.24,100103,5303360
2015,22207,599,0.5275459098497496,0.001669449081803005,0.025041736227045076,0.008347245409015025,0.9382303839732888,0,0,0.5976627712854758,0.008347245409015025,0.11018363939899833,100065,5302010
2016,22207,609,0.5270935960591133,0.0016420361247947454,0.026272577996715927,0.011494252873563218,0.9343185550082101,0,0.003284072249589491,0.6075533661740559,0.0180623973727422,0.12643678160919541,100065,5302010
2017,22207,623,0.5280898876404494,0.0016051364365971107,0.03210272873194221,0.01765650080256822,0.9197431781701445,0.009630818619582664,0.0016051364365971107,0.608346709470305,0.019261637239165328,0.12841091492776885,100065,5302010
2018,22207,624,0.5128205128205128,0.003205128205128205,0.027243589743589744,0.019230769230769232,0.9182692307692307,0,0.004807692307692308,0.5721153846153846,0.019230769230769232,0.13942307692307693,100065,5302010
2019,22207,591,0.5109983079526227,0.001692047377326565,0.028764805414551606,0.028764805414551606,0.9137055837563451,0.00338409475465313,0.00676818950930626,0.5922165820642978,0.028764805414551606,0.15228426395939088,100065,5302010
2020,22207,579,0.48186528497409326,0.0051813471502590676,0.02936096718480138,0.03626943005181347,0.9015544041450777,0.0034542314335060447,0.0069084628670120895,0.5267702936096719,0.024179620034542316,0.1381692573402418,100065,5302010
2021,22207,551,0.47731397459165154,0,0.036297640653357534,0.047186932849364795,0.8856624319419237,0.003629764065335753,0.007259528130671506,0.47368421052631576,0.019963702359346643,0.14337568058076225,100065,5302010
2022,22207,589,0.46519524617996605,0.001697792869269949,0.03735144312393888,0.042444821731748725,0.8964346349745331,0,0.008488964346349746,0.49575551782682514,0.010186757215619695,0.14431239388794567,100065,5302010
2023,22207,622,0.47106109324758844,0.003215434083601286,0.04662379421221865,0.03697749196141479,0.8906752411575563,0,0,0.5418006430868167,0.008038585209003215,0.14308681672025725,100065,5302010
2024,22207,653,0.48545176110260335,0.0030627871362940277,0.04900459418070444,0.03522205206738132,0.889739663093415,0,0.004594180704441042,0.5773353751914242,0.006125574272588055,0.13782542113323124,100065,5302010
2025,22207,695,0.48633093525179855,0.0028776978417266188,0.04748201438848921,0.03741007194244604,0.8863309352517985,0,0.004316546762589928,0.5410071942446043,0.0057553956834532375,0.16115107913669063,100065,5302010
2015,23042,193,0.5233160621761658,0.010362694300518135,0.11398963730569948,0.12953367875647667,0.7098445595854922,0.010362694300518135,0.015544041450777202,0.40932642487046633,0.0051813471502590676,0.09844559585492228,100246,5308220
2016,23042,190,0.5578947368421052,0.005263157894736842,0.10526315789473684,0.08947368421052632,0.7473684210526316,0.005263157894736842,0,0.4,0,0.11052631578947368,100246,5308220
2017,23042,217,0.5622119815668203,0.018433179723502304,0.0967741935483871,0.07373271889400922,0.7465437788018433,0.004608294930875576,0,0.4147465437788018,0,0.1152073732718894,100246,5308220
2018,23042,215,0.5302325581395348,0,0.09767441860465116,0.10697674418604651,0.7302325581395349,0,0.05116279069767442,0.413953488372093,0.013953488372093023,0.11162790697674418,100246,5308220
2019,23042,209,0.5263157894736842,0.009569377990430622,0.10047846889952153,0.13875598086124402,0.69377990430622,0,0.0430622009569378,0.4784688995215311,0.004784688995215311,0.13875598086124402,100246,5308220
2020,23042,201,0.5223880597014925,0.009950248756218905,0.07462686567164178,0.1044776119402985,0.7562189054726368,0,0.08955223880597014,0.46766169154228854,0.004975124378109453,0.15422885572139303,100246,5308220
2021,23042,203,0.5123152709359606,0.0049261083743842365,0.10344827586206896,0.12807881773399016,0.7093596059113301,0,0.059113300492610835,0.43842364532019706,0,0.1724137931034483,100246,5308220
2022,23042,201,0.5223880597014925,0.004975124378109453,0.10945273631840796,0.0945273631840796,0.7412935323383084,0,0.06467661691542288,0.46766169154228854,0.029850746268656716,0.1890547263681592,100246,5308220
